criteria_mode,spec,qid,replicate,question,p
empty,complement,no,98,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
paired,nested_threshold,lower,85,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,85,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,partition,above,26,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
empty,partition,not_above,26,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
paired,complement,yes,92,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.18
paired,complement,no,92,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.79
empty,nested_threshold,lower,84,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,84,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,joint_bounds,one,45,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,45,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
paired,joint_bounds,both,45,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
paired,nested_time,short,79,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,79,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,complement,yes,75,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,complement,no,75,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
paired,joint_bounds,one,27,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,27,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,27,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.08
paired,partition,above,64,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
paired,partition,not_above,64,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,joint_bounds,one,50,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,50,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,50,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
paired,joint_bounds,one,31,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,31,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,31,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
empty,nested_threshold,lower,48,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,nested_threshold,higher,48,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
paired,partition,above,39,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,39,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
paired,joint_bounds,one,42,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,joint_bounds,ten,42,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,42,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,nested_time,short,29,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,29,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
paired,nested_threshold,lower,38,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,38,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,nested_time,short,4,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,4,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
empty,nested_time,short,23,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,23,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,joint_bounds,one,39,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,joint_bounds,ten,39,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,39,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,joint_bounds,one,58,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,58,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,58,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,one,37,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,37,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,37,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,joint_bounds,one,85,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,85,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,85,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
paired,nested_time,short,66,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,66,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
omitted,partition,above,22,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
omitted,partition,not_above,22,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,nested_threshold,lower,57,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,57,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,complement,yes,19,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,19,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
omitted,nested_threshold,lower,38,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,38,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,nested_time,short,80,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,80,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,yes,79,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,complement,no,79,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
empty,joint_bounds,one,77,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,77,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,77,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.08
omitted,nested_threshold,lower,16,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,nested_threshold,higher,16,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,partition,above,100,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
omitted,partition,not_above,100,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
omitted,complement,yes,85,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,85,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.9
empty,joint_bounds,one,24,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
empty,joint_bounds,ten,24,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,24,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,joint_bounds,one,42,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
omitted,joint_bounds,ten,42,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,42,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
paired,complement,yes,10,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,10,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
empty,nested_threshold,lower,24,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,24,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,partition,above,94,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.25
paired,partition,not_above,94,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
paired,partition,above,74,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,74,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
empty,joint_bounds,one,76,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,76,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,76,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,joint_bounds,one,79,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.17
paired,joint_bounds,ten,79,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,79,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,nested_time,short,6,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,6,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
paired,nested_threshold,lower,17,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,17,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,partition,above,20,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,20,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,joint_bounds,one,81,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,81,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,81,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
empty,partition,above,25,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
empty,partition,not_above,25,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
empty,partition,above,92,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,92,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
omitted,nested_threshold,lower,59,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,59,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
paired,nested_time,short,13,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,13,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,complement,yes,70,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,70,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.91
omitted,joint_bounds,one,40,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,40,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,40,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,one,31,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,31,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,31,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
paired,complement,yes,9,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,9,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
empty,nested_time,short,39,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,39,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,partition,above,1,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.17
empty,partition,not_above,1,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
empty,joint_bounds,one,98,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,98,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,98,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.05
empty,nested_threshold,lower,2,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,2,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,partition,above,40,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,40,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
omitted,partition,above,89,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,89,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.78
empty,nested_time,short,22,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,22,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,partition,above,33,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
empty,partition,not_above,33,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
omitted,joint_bounds,one,53,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,53,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,53,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
paired,joint_bounds,one,97,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,97,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,97,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,nested_threshold,lower,81,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,81,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,nested_threshold,lower,81,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,81,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,nested_time,short,36,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,36,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,nested_time,short,71,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,71,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
empty,nested_threshold,lower,23,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
empty,nested_threshold,higher,23,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,complement,yes,97,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.18
paired,complement,no,97,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
omitted,complement,yes,20,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,20,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.93
paired,complement,yes,3,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,3,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
empty,nested_threshold,lower,72,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
empty,nested_threshold,higher,72,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
omitted,complement,yes,5,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,5,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
omitted,joint_bounds,one,20,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,joint_bounds,ten,20,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.02
omitted,joint_bounds,both,20,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
omitted,partition,above,69,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,69,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.79
paired,joint_bounds,one,3,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,3,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,3,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,partition,above,49,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
paired,partition,not_above,49,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
omitted,nested_threshold,lower,22,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,22,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,partition,above,94,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
omitted,partition,not_above,94,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.78
omitted,nested_threshold,lower,44,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,44,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,complement,yes,66,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,66,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.84
paired,partition,above,83,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,83,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
omitted,joint_bounds,one,24,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,24,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,24,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
paired,partition,above,8,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
paired,partition,not_above,8,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,complement,yes,4,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,4,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
paired,nested_threshold,lower,47,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,47,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,complement,yes,47,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.18
paired,complement,no,47,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
omitted,nested_threshold,lower,4,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
omitted,nested_threshold,higher,4,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,complement,yes,61,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,61,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
empty,nested_threshold,lower,94,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,nested_threshold,higher,94,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
omitted,nested_threshold,lower,64,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,64,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,nested_threshold,lower,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,35,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,nested_threshold,lower,59,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,59,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,partition,above,96,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,96,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,partition,above,11,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,11,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
empty,nested_threshold,lower,22,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,22,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,nested_threshold,lower,60,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,60,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,complement,yes,90,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,90,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.81
paired,complement,yes,80,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,80,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
empty,joint_bounds,one,47,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,joint_bounds,ten,47,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,47,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,complement,yes,52,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,52,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
empty,partition,above,52,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,52,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
empty,partition,above,83,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,83,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
omitted,nested_time,short,91,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,91,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,partition,above,58,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,58,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
empty,joint_bounds,one,53,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,53,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,53,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,partition,above,19,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,19,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
empty,joint_bounds,one,51,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,joint_bounds,ten,51,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,51,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,nested_threshold,lower,95,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,95,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,complement,yes,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.16
paired,complement,no,35,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
empty,complement,yes,43,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,43,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.82
empty,partition,above,54,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,54,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
omitted,nested_threshold,lower,39,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,nested_threshold,higher,39,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,complement,yes,72,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,no,72,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.93
paired,nested_time,short,99,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,99,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
paired,joint_bounds,one,80,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,joint_bounds,ten,80,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.05
paired,joint_bounds,both,80,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,nested_time,short,67,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,67,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,nested_threshold,lower,63,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,63,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,nested_time,short,18,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,18,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
paired,nested_threshold,lower,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,35,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,complement,yes,42,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,42,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
paired,joint_bounds,one,23,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,23,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,23,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,nested_time,short,50,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,50,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,partition,above,90,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
paired,partition,not_above,90,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.75
paired,partition,above,28,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,28,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,partition,above,76,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
paired,partition,not_above,76,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
omitted,partition,above,36,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
omitted,partition,not_above,36,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
paired,complement,yes,69,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,complement,no,69,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
paired,joint_bounds,one,85,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.2
paired,joint_bounds,ten,85,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,85,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,partition,above,41,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
omitted,partition,not_above,41,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
